{'item_id': 0, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 48, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 49, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 50, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 51, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 52, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 53, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 54, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 55, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 56, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 57, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 58, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 59, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 60, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 61, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 62, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 63, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 64, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 65, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 66, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 67, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 68, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 69, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 70, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 71, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 72, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 73, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 74, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 75, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 76, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 77, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 78, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 79, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 80, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 81, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 82, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 83, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 84, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 85, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 86, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 87, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 88, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 89, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 90, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 91, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 92, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 93, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 94, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 95, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 96, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 97, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 98, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
{'item_id': 99, 'rating': 1.0, 'description': 'Description will go here', 'location': 'Earth, Milky Way'}
